keyword,position,url,search_volume,previous_position,intent
office chair ergonomic 27 inch,18,https://example-furniture-shop.test/office-chair-ergo-27,4400,32,transactional
office chair ergonomic,11,https://example-furniture-shop.test/office-chairs,9900,16,transactional
ergonomic desk chair black,14,https://example-furniture-shop.test/office-chairs/black,2900,22,transactional
office chair lumbar support,17,https://example-furniture-shop.test/office-chairs/lumbar,3300,24,transactional
mesh office chair,20,https://example-furniture-shop.test/office-chairs/mesh,5400,28,transactional
high back office chair,15,https://example-furniture-shop.test/office-chairs/high-back,2400,21,transactional
office chair with footrest,29,https://example-furniture-shop.test/office-chairs/footrest,1300,41,commercial-investigation
office chair under 300,24,https://example-furniture-shop.test/office-chairs/budget,1900,34,transactional
gaming chair vs office chair,12,https://example-furniture-shop.test/guides/gaming-vs-office,4400,9,informational
best office chair for back pain,8,https://example-furniture-shop.test/guides/back-pain,8100,5,informational
what is an ergonomic chair,15,https://example-furniture-shop.test/guides/what-is-ergonomic,2900,11,informational
ergonomic chair benefits,18,https://example-furniture-shop.test/guides/benefits,1900,13,informational
standing desk,30,https://example-furniture-shop.test/desks/standing,12100,38,transactional
standing desk converter,33,https://example-furniture-shop.test/desks/converters,4400,42,commercial-investigation
office desk wood,28,https://example-furniture-shop.test/desks/wood,3300,37,transactional
office desk small,26,https://example-furniture-shop.test/desks/small,2900,33,transactional
filing cabinet,55,https://example-furniture-shop.test/storage/filing,2900,68,commercial-investigation
office bookshelf,68,https://example-furniture-shop.test/storage/bookshelves,1900,82,commercial-investigation
example-furniture-shop,1,https://example-furniture-shop.test,2400,1,navigational
example-furniture-shop reviews,4,https://example-furniture-shop.test/reviews,590,5,navigational
ergonomic furniture brand,9,https://example-furniture-shop.test/about,210,12,navigational
desk chair,16,https://example-furniture-shop.test/office-chairs,18100,22,transactional
modern office desk,25,https://example-furniture-shop.test/desks/modern,2400,32,transactional
oak desk,45,https://example-furniture-shop.test/desks/oak,1600,52,commercial-investigation
adjustable office chair,19,https://example-furniture-shop.test/office-chairs/adjustable,4400,26,transactional
office chair leather,9,https://example-furniture-shop.test/office-chairs/leather,2400,12,transactional
small office furniture,11,https://example-furniture-shop.test/guides/small-spaces,3600,15,informational
ergonomic office setup,7,https://example-furniture-shop.test/guides/ergonomic-setup,4400,9,informational
